simulation_id,strategy_id,strategy,rank,adjusted_value,abandonment_risk
1078,ROA002,Public Housing Climate Retrofit,3,6.99057,0.51722
1078,ROA003,Community-Led Cooling and Care Network,4,6.93401,0.58984
1078,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.87716,0.60867
1078,ROA004,Flood Defense for High-Value Assets,6,2.93285,2.87338
1078,ROA007,Risk Mapping Dashboard Without Funding,7,-0.7959,4.57027
1078,ROA001,Household Preparedness Campaign,8,-1.61867,4.88778
1079,ROA005,Managed Retreat with Long-Term Support,1,7.54106,0.39339
1079,ROA006,Drainage Repair and Social Protection Package,2,7.31415,0.53748
1079,ROA002,Public Housing Climate Retrofit,3,7.27258,0.60306
1079,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.21753,0.40953
1079,ROA003,Community-Led Cooling and Care Network,5,6.21658,0.87757
1079,ROA004,Flood Defense for High-Value Assets,6,3.15044,2.91006
1079,ROA001,Household Preparedness Campaign,7,-0.70484,4.50818
1079,ROA007,Risk Mapping Dashboard Without Funding,8,-1.87043,5.44157
1080,ROA005,Managed Retreat with Long-Term Support,1,8.14828,0.36383
1080,ROA006,Drainage Repair and Social Protection Package,2,7.54941,0.32267
1080,ROA002,Public Housing Climate Retrofit,3,7.48559,0.41271
1080,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.98425,0.5536
1080,ROA003,Community-Led Cooling and Care Network,5,5.77771,1.00579
1080,ROA004,Flood Defense for High-Value Assets,6,2.30693,3.20035
1080,ROA007,Risk Mapping Dashboard Without Funding,7,-1.41607,5.19723
1080,ROA001,Household Preparedness Campaign,8,-1.77709,5.14218
1081,ROA006,Drainage Repair and Social Protection Package,1,7.59546,0.33894
1081,ROA002,Public Housing Climate Retrofit,2,7.59413,0.48706
1081,ROA005,Managed Retreat with Long-Term Support,3,7.30419,0.57099
1081,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.1159,0.55624
1081,ROA003,Community-Led Cooling and Care Network,5,7.00201,0.65921
1081,ROA004,Flood Defense for High-Value Assets,6,2.98526,2.93501
1081,ROA001,Household Preparedness Campaign,7,-0.9831,4.80431
1081,ROA007,Risk Mapping Dashboard Without Funding,8,-2.03829,5.40489
1082,ROA005,Managed Retreat with Long-Term Support,1,7.80088,0.36035
1082,ROA002,Public Housing Climate Retrofit,2,7.17781,0.59423
1082,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.09962,0.54426
1082,ROA006,Drainage Repair and Social Protection Package,4,7.04001,0.56196
1082,ROA003,Community-Led Cooling and Care Network,5,6.93993,0.50916
1082,ROA004,Flood Defense for High-Value Assets,6,1.84416,3.46259
1082,ROA001,Household Preparedness Campaign,7,-0.93548,4.67108
1082,ROA007,Risk Mapping Dashboard Without Funding,8,-2.4084,5.41588
1083,ROA005,Managed Retreat with Long-Term Support,1,7.5748,0.44953
1083,ROA006,Drainage Repair and Social Protection Package,2,7.46489,0.40239
1083,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.36234,0.51117
1083,ROA002,Public Housing Climate Retrofit,4,7.21661,0.69954
1083,ROA003,Community-Led Cooling and Care Network,5,6.72449,0.7486
1083,ROA004,Flood Defense for High-Value Assets,6,2.50683,3.25338
1083,ROA001,Household Preparedness Campaign,7,0.26719,4.10621
1083,ROA007,Risk Mapping Dashboard Without Funding,8,-0.96056,4.57388
1084,ROA002,Public Housing Climate Retrofit,1,7.88943,0.44515
1084,ROA005,Managed Retreat with Long-Term Support,2,7.71085,0.49084
1084,ROA006,Drainage Repair and Social Protection Package,3,7.3913,0.40522
1084,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.05016,0.47728
1084,ROA003,Community-Led Cooling and Care Network,5,6.29281,0.87002
1084,ROA004,Flood Defense for High-Value Assets,6,1.1562,3.67165
1084,ROA001,Household Preparedness Campaign,7,-0.50038,4.53932
1084,ROA007,Risk Mapping Dashboard Without Funding,8,-1.58482,5.11448
1085,ROA006,Drainage Repair and Social Protection Package,1,7.35751,0.52544
1085,ROA005,Managed Retreat with Long-Term Support,2,7.27207,0.46472
1085,ROA002,Public Housing Climate Retrofit,3,6.77036,0.59919
1085,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.76986,0.69583
1085,ROA003,Community-Led Cooling and Care Network,5,6.09405,0.96776
1085,ROA004,Flood Defense for High-Value Assets,6,3.87978,2.42031
1085,ROA001,Household Preparedness Campaign,7,-0.87951,4.73709
1085,ROA007,Risk Mapping Dashboard Without Funding,8,-2.08374,5.36791
1086,ROA006,Drainage Repair and Social Protection Package,1,7.93267,0.45485
1086,ROA005,Managed Retreat with Long-Term Support,2,7.87646,0.38121
1086,ROA002,Public Housing Climate Retrofit,3,7.54982,0.41148
1086,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.60435,0.60405
1086,ROA003,Community-Led Cooling and Care Network,5,6.54153,0.79951
1086,ROA004,Flood Defense for High-Value Assets,6,1.91601,3.48646
1086,ROA001,Household Preparedness Campaign,7,-0.2576,4.23525
1086,ROA007,Risk Mapping Dashboard Without Funding,8,-1.13726,4.93483
1087,ROA005,Managed Retreat with Long-Term Support,1,7.57081,0.42715
1087,ROA002,Public Housing Climate Retrofit,2,7.44639,0.35098
1087,ROA006,Drainage Repair and Social Protection Package,3,7.08905,0.60425
1087,ROA003,Community-Led Cooling and Care Network,4,6.9786,0.56765
1087,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.70402,0.61541
1087,ROA004,Flood Defense for High-Value Assets,6,3.23826,2.78289
1087,ROA001,Household Preparedness Campaign,7,-0.72152,4.46785
1087,ROA007,Risk Mapping Dashboard Without Funding,8,-0.88178,4.82586
1088,ROA006,Drainage Repair and Social Protection Package,1,7.98298,0.33004
1088,ROA002,Public Housing Climate Retrofit,2,7.59427,0.43325
1088,ROA005,Managed Retreat with Long-Term Support,3,7.57379,0.34099
1088,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.15796,0.4433
1088,ROA003,Community-Led Cooling and Care Network,5,6.36201,0.70833
1088,ROA004,Flood Defense for High-Value Assets,6,2.45026,3.16621
1088,ROA001,Household Preparedness Campaign,7,0.22559,4.09101
1088,ROA007,Risk Mapping Dashboard Without Funding,8,-1.28365,4.97345
1089,ROA006,Drainage Repair and Social Protection Package,1,7.95286,0.38976
1089,ROA005,Managed Retreat with Long-Term Support,2,7.46411,0.53354
1089,ROA002,Public Housing Climate Retrofit,3,7.41859,0.46137
1089,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.27307,0.43916
1089,ROA003,Community-Led Cooling and Care Network,5,6.45527,0.80296
1089,ROA004,Flood Defense for High-Value Assets,6,3.56317,2.67187
1089,ROA001,Household Preparedness Campaign,7,-1.30635,4.79451
1089,ROA007,Risk Mapping Dashboard Without Funding,8,-1.46323,4.95128
1090,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.72931,0.24185
1090,ROA005,Managed Retreat with Long-Term Support,2,7.72415,0.35864
1090,ROA006,Drainage Repair and Social Protection Package,3,7.4615,0.44953
1090,ROA002,Public Housing Climate Retrofit,4,7.45467,0.41834
1090,ROA003,Community-Led Cooling and Care Network,5,6.86147,0.50255
1090,ROA004,Flood Defense for High-Value Assets,6,1.58034,3.61256
1090,ROA007,Risk Mapping Dashboard Without Funding,7,-1.28892,5.05551
1090,ROA001,Household Preparedness Campaign,8,-1.62919,5.01965
1091,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.78142,0.34585
1091,ROA002,Public Housing Climate Retrofit,2,7.30216,0.45249
1091,ROA006,Drainage Repair and Social Protection Package,3,7.16663,0.46599
1091,ROA005,Managed Retreat with Long-Term Support,4,7.12795,0.49258
1091,ROA003,Community-Led Cooling and Care Network,5,6.21085,0.75877
1091,ROA004,Flood Defense for High-Value Assets,6,1.95154,3.37757
1091,ROA001,Household Preparedness Campaign,7,-0.30229,4.47711
1091,ROA007,Risk Mapping Dashboard Without Funding,8,-0.90025,4.81656
1092,ROA002,Public Housing Climate Retrofit,1,8.3422,0.15072
1092,ROA005,Managed Retreat with Long-Term Support,2,7.96387,0.53576
1092,ROA006,Drainage Repair and Social Protection Package,3,7.89771,0.26488
1092,ROA003,Community-Led Cooling and Care Network,4,6.99129,0.47105
1092,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.82492,0.66449
1092,ROA004,Flood Defense for High-Value Assets,6,3.44545,2.51642
1092,ROA001,Household Preparedness Campaign,7,-0.58877,4.39928
1092,ROA007,Risk Mapping Dashboard Without Funding,8,-0.85979,4.6806
1093,ROA002,Public Housing Climate Retrofit,1,7.79305,0.37014
1093,ROA006,Drainage Repair and Social Protection Package,2,7.75987,0.28328
1093,ROA005,Managed Retreat with Long-Term Support,3,7.66723,0.5293
1093,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.51804,0.27116
1093,ROA003,Community-Led Cooling and Care Network,5,6.11401,0.89032
1093,ROA004,Flood Defense for High-Value Assets,6,2.85304,2.93342
1093,ROA001,Household Preparedness Campaign,7,-1.23102,4.80196
1093,ROA007,Risk Mapping Dashboard Without Funding,8,-1.33245,4.88682
1094,ROA005,Managed Retreat with Long-Term Support,1,7.96366,0.28383
1094,ROA006,Drainage Repair and Social Protection Package,2,7.82503,0.38632
1094,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.30454,0.42918
1094,ROA002,Public Housing Climate Retrofit,4,7.2102,0.4892
1094,ROA003,Community-Led Cooling and Care Network,5,6.65304,0.69484
1094,ROA004,Flood Defense for High-Value Assets,6,2.9941,2.85715
1094,ROA001,Household Preparedness Campaign,7,-0.61564,4.49461
1094,ROA007,Risk Mapping Dashboard Without Funding,8,-1.50254,4.95182
1095,ROA002,Public Housing Climate Retrofit,1,7.47634,0.44656
1095,ROA005,Managed Retreat with Long-Term Support,2,7.42942,0.44254
1095,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.36231,0.46438
1095,ROA006,Drainage Repair and Social Protection Package,4,7.25377,0.50089
1095,ROA003,Community-Led Cooling and Care Network,5,6.21398,0.79821
1095,ROA004,Flood Defense for High-Value Assets,6,3.04003,2.67197
1095,ROA001,Household Preparedness Campaign,7,-0.61251,4.52335
1095,ROA007,Risk Mapping Dashboard Without Funding,8,-0.72509,4.65585
1096,ROA005,Managed Retreat with Long-Term Support,1,7.64366,0.39824
1096,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.45698,0.50213
1096,ROA006,Drainage Repair and Social Protection Package,3,7.33486,0.42492
1096,ROA002,Public Housing Climate Retrofit,4,7.28546,0.52361
1096,ROA003,Community-Led Cooling and Care Network,5,6.6853,0.70954
1096,ROA004,Flood Defense for High-Value Assets,6,3.29914,2.9909
1096,ROA001,Household Preparedness Campaign,7,0.16611,3.95433
1096,ROA007,Risk Mapping Dashboard Without Funding,8,-1.99856,5.41266
1097,ROA006,Drainage Repair and Social Protection Package,1,7.43174,0.45803
1097,ROA002,Public Housing Climate Retrofit,2,7.16896,0.46227
1097,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.10025,0.5155
1097,ROA005,Managed Retreat with Long-Term Support,4,7.03053,0.5287
1097,ROA003,Community-Led Cooling and Care Network,5,6.58279,0.93531
1097,ROA004,Flood Defense for High-Value Assets,6,2.49776,3.23813
1097,ROA007,Risk Mapping Dashboard Without Funding,7,-0.74625,4.68792
1097,ROA001,Household Preparedness Campaign,8,-1.02875,4.56055
1098,ROA006,Drainage Repair and Social Protection Package,1,7.72968,0.4394
1098,ROA002,Public Housing Climate Retrofit,2,7.61405,0.51492
1098,ROA005,Managed Retreat with Long-Term Support,3,7.33932,0.58467
1098,ROA003,Community-Led Cooling and Care Network,4,7.04853,0.66575
1098,ROA008,Mutual Aid Network with Public Capacity Agreement,5,7.01435,0.50854
1098,ROA004,Flood Defense for High-Value Assets,6,2.56645,3.01604
1098,ROA001,Household Preparedness Campaign,7,-1.35362,4.8373
1098,ROA007,Risk Mapping Dashboard Without Funding,8,-2.06403,5.44271
1099,ROA006,Drainage Repair and Social Protection Package,1,7.63633,0.47299
1099,ROA002,Public Housing Climate Retrofit,2,7.56125,0.45119
1099,ROA005,Managed Retreat with Long-Term Support,3,7.52177,0.49104
1099,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.4275,0.38212
1099,ROA003,Community-Led Cooling and Care Network,5,6.56218,0.78901
1099,ROA004,Flood Defense for High-Value Assets,6,2.40388,3.24205
1099,ROA001,Household Preparedness Campaign,7,-1.09486,4.78207
1099,ROA007,Risk Mapping Dashboard Without Funding,8,-1.246,4.89058
1100,ROA006,Drainage Repair and Social Protection Package,1,7.86903,0.40418
1100,ROA002,Public Housing Climate Retrofit,2,7.70213,0.41409
1100,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.2916,0.54887
1100,ROA005,Managed Retreat with Long-Term Support,4,7.2906,0.44224
1100,ROA003,Community-Led Cooling and Care Network,5,6.40371,0.76331
1100,ROA004,Flood Defense for High-Value Assets,6,2.76676,2.92024
1100,ROA001,Household Preparedness Campaign,7,-1.16928,4.76217
1100,ROA007,Risk Mapping Dashboard Without Funding,8,-1.59845,4.93266
1101,ROA002,Public Housing Climate Retrofit,1,7.60542,0.49092
1101,ROA006,Drainage Repair and Social Protection Package,2,7.49241,0.44016
1101,ROA005,Managed Retreat with Long-Term Support,3,7.36426,0.49903
1101,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.69933,0.70008
1101,ROA003,Community-Led Cooling and Care Network,5,6.56878,0.7253
1101,ROA004,Flood Defense for High-Value Assets,6,2.51845,3.06451
1101,ROA001,Household Preparedness Campaign,7,-1.42545,4.90549
1101,ROA007,Risk Mapping Dashboard Without Funding,8,-1.83576,5.11879
1102,ROA005,Managed Retreat with Long-Term Support,1,7.8437,0.35589
1102,ROA006,Drainage Repair and Social Protection Package,2,7.73144,0.30137
1102,ROA002,Public Housing Climate Retrofit,3,7.64015,0.4505
1102,ROA003,Community-Led Cooling and Care Network,4,6.69374,0.53848
1102,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.56411,0.65622
1102,ROA004,Flood Defense for High-Value Assets,6,2.83775,2.82367
1102,ROA001,Household Preparedness Campaign,7,-0.72699,4.61671
1102,ROA007,Risk Mapping Dashboard Without Funding,8,-1.40345,5.01271
1103,ROA006,Drainage Repair and Social Protection Package,1,7.78663,0.40832
1103,ROA002,Public Housing Climate Retrofit,2,7.54243,0.35669
1103,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.45163,0.37897
1103,ROA005,Managed Retreat with Long-Term Support,4,7.3446,0.41603
1103,ROA003,Community-Led Cooling and Care Network,5,6.51374,0.78682
1103,ROA004,Flood Defense for High-Value Assets,6,2.4705,3.15486
1103,ROA001,Household Preparedness Campaign,7,-0.31646,4.23762
1103,ROA007,Risk Mapping Dashboard Without Funding,8,-1.94823,5.29404
1104,ROA006,Drainage Repair and Social Protection Package,1,7.74993,0.41765
1104,ROA002,Public Housing Climate Retrofit,2,7.52723,0.41646
1104,ROA005,Managed Retreat with Long-Term Support,3,7.51789,0.41472
1104,ROA003,Community-Led Cooling and Care Network,4,7.06532,0.53803
1104,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.57405,0.54128
1104,ROA004,Flood Defense for High-Value Assets,6,3.2363,2.77934
1104,ROA001,Household Preparedness Campaign,7,-0.21392,4.18423
1104,ROA007,Risk Mapping Dashboard Without Funding,8,-1.79394,5.29143
1105,ROA002,Public Housing Climate Retrofit,1,7.6547,0.34556
1105,ROA006,Drainage Repair and Social Protection Package,2,7.59191,0.36794
1105,ROA005,Managed Retreat with Long-Term Support,3,7.28149,0.4367
1105,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.88823,0.61495
1105,ROA003,Community-Led Cooling and Care Network,5,6.59479,0.82899
1105,ROA004,Flood Defense for High-Value Assets,6,2.34056,3.28461
1105,ROA007,Risk Mapping Dashboard Without Funding,7,-1.43224,4.90464
1105,ROA001,Household Preparedness Campaign,8,-1.57314,4.99151
1106,ROA005,Managed Retreat with Long-Term Support,1,8.06814,0.38344
1106,ROA006,Drainage Repair and Social Protection Package,2,7.84927,0.30003
1106,ROA002,Public Housing Climate Retrofit,3,7.59296,0.24671
1106,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.00772,0.59803
1106,ROA003,Community-Led Cooling and Care Network,5,5.78657,1.2669
1106,ROA004,Flood Defense for High-Value Assets,6,2.81924,2.99829
1106,ROA001,Household Preparedness Campaign,7,-1.03383,4.88435
1106,ROA007,Risk Mapping Dashboard Without Funding,8,-1.11897,4.97802
1107,ROA005,Managed Retreat with Long-Term Support,1,7.74516,0.49924
1107,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.27858,0.45739
1107,ROA006,Drainage Repair and Social Protection Package,3,7.25049,0.72997
1107,ROA002,Public Housing Climate Retrofit,4,7.09537,0.32275
1107,ROA003,Community-Led Cooling and Care Network,5,6.5233,0.79326
1107,ROA004,Flood Defense for High-Value Assets,6,2.32677,3.18239
1107,ROA001,Household Preparedness Campaign,7,-0.56036,4.25724
1107,ROA007,Risk Mapping Dashboard Without Funding,8,-2.00068,5.49079
1108,ROA006,Drainage Repair and Social Protection Package,1,7.67407,0.36604
1108,ROA002,Public Housing Climate Retrofit,2,7.45304,0.44803
1108,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.44646,0.41458
1108,ROA005,Managed Retreat with Long-Term Support,4,7.28749,0.36076
1108,ROA003,Community-Led Cooling and Care Network,5,6.2301,1.03647
1108,ROA004,Flood Defense for High-Value Assets,6,1.36879,3.80232
1108,ROA001,Household Preparedness Campaign,7,-0.61615,4.39885
1108,ROA007,Risk Mapping Dashboard Without Funding,8,-1.21089,4.70034
1109,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.5772,0.42788
1109,ROA006,Drainage Repair and Social Protection Package,2,7.5377,0.38426
1109,ROA005,Managed Retreat with Long-Term Support,3,7.42169,0.51982
1109,ROA002,Public Housing Climate Retrofit,4,7.2446,0.72456
1109,ROA003,Community-Led Cooling and Care Network,5,6.632,0.53158
1109,ROA004,Flood Defense for High-Value Assets,6,3.55292,2.41841
1109,ROA001,Household Preparedness Campaign,7,-0.8206,4.71907
1109,ROA007,Risk Mapping Dashboard Without Funding,8,-1.5554,5.05448
1110,ROA006,Drainage Repair and Social Protection Package,1,7.93062,0.45615
1110,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.74262,0.38592
1110,ROA002,Public Housing Climate Retrofit,3,7.11277,0.51671
1110,ROA005,Managed Retreat with Long-Term Support,4,7.11237,0.58661
1110,ROA003,Community-Led Cooling and Care Network,5,6.34155,0.99562
1110,ROA004,Flood Defense for High-Value Assets,6,2.66072,3.194
1110,ROA001,Household Preparedness Campaign,7,-0.84699,4.57209
1110,ROA007,Risk Mapping Dashboard Without Funding,8,-1.01882,4.8953
1111,ROA005,Managed Retreat with Long-Term Support,1,7.64107,0.5223
1111,ROA006,Drainage Repair and Social Protection Package,2,7.59916,0.44425
1111,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.46335,0.45652
1111,ROA002,Public Housing Climate Retrofit,4,7.42839,0.3672
1111,ROA003,Community-Led Cooling and Care Network,5,6.21215,0.82082
1111,ROA004,Flood Defense for High-Value Assets,6,2.77168,2.9988
1111,ROA007,Risk Mapping Dashboard Without Funding,7,-1.12788,4.87319
1111,ROA001,Household Preparedness Campaign,8,-1.59153,5.05933
1112,ROA006,Drainage Repair and Social Protection Package,1,7.79487,0.27088
1112,ROA005,Managed Retreat with Long-Term Support,2,7.68344,0.47585
1112,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.60701,0.25086
1112,ROA002,Public Housing Climate Retrofit,4,7.26619,0.40975
1112,ROA003,Community-Led Cooling and Care Network,5,6.45216,0.84182
1112,ROA004,Flood Defense for High-Value Assets,6,3.07581,2.85639
1112,ROA001,Household Preparedness Campaign,7,-0.55261,4.33048
1112,ROA007,Risk Mapping Dashboard Without Funding,8,-2.08589,5.33843
1113,ROA006,Drainage Repair and Social Protection Package,1,7.65278,0.34964
1113,ROA005,Managed Retreat with Long-Term Support,2,7.24585,0.68143
1113,ROA002,Public Housing Climate Retrofit,3,7.22491,0.35461
1113,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.20598,0.54966
1113,ROA003,Community-Led Cooling and Care Network,5,6.21093,0.88977
1113,ROA004,Flood Defense for High-Value Assets,6,2.57734,3.24199
1113,ROA001,Household Preparedness Campaign,7,-0.65016,4.46868
1113,ROA007,Risk Mapping Dashboard Without Funding,8,-0.91035,4.5532
1114,ROA006,Drainage Repair and Social Protection Package,1,7.84718,0.30767
1114,ROA005,Managed Retreat with Long-Term Support,2,7.83148,0.31998
1114,ROA002,Public Housing Climate Retrofit,3,7.74772,0.35322
1114,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.49621,0.46562
1114,ROA003,Community-Led Cooling and Care Network,5,7.17583,0.49868
1114,ROA004,Flood Defense for High-Value Assets,6,2.52041,3.11393
1114,ROA001,Household Preparedness Campaign,7,-0.24732,4.23365
1114,ROA007,Risk Mapping Dashboard Without Funding,8,-1.5899,5.07753
1115,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.56437,0.49475
1115,ROA005,Managed Retreat with Long-Term Support,2,7.5437,0.34765
1115,ROA002,Public Housing Climate Retrofit,3,7.48306,0.51416
1115,ROA006,Drainage Repair and Social Protection Package,4,7.36595,0.39334
1115,ROA003,Community-Led Cooling and Care Network,5,6.84178,0.65734
1115,ROA004,Flood Defense for High-Value Assets,6,2.66121,3.13774
1115,ROA001,Household Preparedness Campaign,7,-0.24522,4.36781
1115,ROA007,Risk Mapping Dashboard Without Funding,8,-1.4657,5.05649
1116,ROA006,Drainage Repair and Social Protection Package,1,7.83103,0.45926
1116,ROA005,Managed Retreat with Long-Term Support,2,7.64464,0.32121
1116,ROA002,Public Housing Climate Retrofit,3,7.60069,0.3979
1116,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.22943,0.46842
1116,ROA003,Community-Led Cooling and Care Network,5,6.80302,0.57294
1116,ROA004,Flood Defense for High-Value Assets,6,2.57197,3.06983
1116,ROA001,Household Preparedness Campaign,7,-0.18982,4.31125
1116,ROA007,Risk Mapping Dashboard Without Funding,8,-1.10497,4.73017
1117,ROA006,Drainage Repair and Social Protection Package,1,8.03879,0.43087
1117,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.53679,0.2814
1117,ROA002,Public Housing Climate Retrofit,3,7.48968,0.36407
1117,ROA005,Managed Retreat with Long-Term Support,4,7.35443,0.52873
1117,ROA003,Community-Led Cooling and Care Network,5,6.26486,0.81537
1117,ROA004,Flood Defense for High-Value Assets,6,2.0892,3.21882
1117,ROA001,Household Preparedness Campaign,7,-0.58427,4.44074
1117,ROA007,Risk Mapping Dashboard Without Funding,8,-1.11415,4.76788
1118,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.57277,0.36464
1118,ROA005,Managed Retreat with Long-Term Support,2,7.38462,0.48388
1118,ROA002,Public Housing Climate Retrofit,3,7.16875,0.62539
1118,ROA006,Drainage Repair and Social Protection Package,4,7.16853,0.4978
1118,ROA003,Community-Led Cooling and Care Network,5,6.80271,0.63299
1118,ROA004,Flood Defense for High-Value Assets,6,2.17725,3.13927
1118,ROA001,Household Preparedness Campaign,7,-0.4877,4.44717
1118,ROA007,Risk Mapping Dashboard Without Funding,8,-2.05065,5.34808
1119,ROA005,Managed Retreat with Long-Term Support,1,7.93709,0.44562
1119,ROA006,Drainage Repair and Social Protection Package,2,7.40763,0.4507
1119,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.37728,0.46952
1119,ROA002,Public Housing Climate Retrofit,4,7.37398,0.59056
1119,ROA003,Community-Led Cooling and Care Network,5,6.19136,0.97666
1119,ROA004,Flood Defense for High-Value Assets,6,2.72305,3.02043
1119,ROA001,Household Preparedness Campaign,7,-1.31335,4.88967
1119,ROA007,Risk Mapping Dashboard Without Funding,8,-1.97762,5.51878
1120,ROA005,Managed Retreat with Long-Term Support,1,7.72358,0.36572
1120,ROA006,Drainage Repair and Social Protection Package,2,7.62895,0.24187
1120,ROA002,Public Housing Climate Retrofit,3,7.41935,0.49554
1120,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.11137,0.55099
1120,ROA003,Community-Led Cooling and Care Network,5,6.55561,0.57236
1120,ROA004,Flood Defense for High-Value Assets,6,2.02093,3.40358
1120,ROA001,Household Preparedness Campaign,7,-0.38542,4.31113
1120,ROA007,Risk Mapping Dashboard Without Funding,8,-1.09327,4.99439
1121,ROA006,Drainage Repair and Social Protection Package,1,7.56669,0.5894
1121,ROA005,Managed Retreat with Long-Term Support,2,7.22121,0.40918
1121,ROA002,Public Housing Climate Retrofit,3,6.99217,0.48921
1121,ROA003,Community-Led Cooling and Care Network,4,6.82609,0.5366
1121,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.29805,0.86435
1121,ROA004,Flood Defense for High-Value Assets,6,2.53124,3.00003
1121,ROA001,Household Preparedness Campaign,7,-0.12122,4.14892
1121,ROA007,Risk Mapping Dashboard Without Funding,8,-0.35674,4.25796
1122,ROA005,Managed Retreat with Long-Term Support,1,7.52418,0.41469
1122,ROA002,Public Housing Climate Retrofit,2,7.50684,0.37473
1122,ROA006,Drainage Repair and Social Protection Package,3,7.43121,0.49846
1122,ROA003,Community-Led Cooling and Care Network,4,7.24302,0.42668
1122,ROA008,Mutual Aid Network with Public Capacity Agreement,5,7.23975,0.39208
1122,ROA004,Flood Defense for High-Value Assets,6,2.46042,3.2582
1122,ROA001,Household Preparedness Campaign,7,-0.46045,4.44485
1122,ROA007,Risk Mapping Dashboard Without Funding,8,-0.62181,4.54891
1123,ROA002,Public Housing Climate Retrofit,1,7.68461,0.18998
1123,ROA006,Drainage Repair and Social Protection Package,2,7.39393,0.56317
1123,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.38562,0.51208
1123,ROA003,Community-Led Cooling and Care Network,4,7.08004,0.47566
1123,ROA005,Managed Retreat with Long-Term Support,5,6.90326,0.59743
1123,ROA004,Flood Defense for High-Value Assets,6,2.46707,3.08029
1123,ROA007,Risk Mapping Dashboard Without Funding,7,-0.22936,4.36382
1123,ROA001,Household Preparedness Campaign,8,-1.09167,4.55243
1124,ROA006,Drainage Repair and Social Protection Package,1,7.81965,0.34211
1124,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.27991,0.49025
1124,ROA002,Public Housing Climate Retrofit,3,7.27674,0.31389
1124,ROA003,Community-Led Cooling and Care Network,4,7.10854,0.58727
1124,ROA005,Managed Retreat with Long-Term Support,5,6.96052,0.49943
1124,ROA004,Flood Defense for High-Value Assets,6,3.00872,2.77783
1124,ROA001,Household Preparedness Campaign,7,-0.1816,4.26294
1124,ROA007,Risk Mapping Dashboard Without Funding,8,-1.14096,5.01438
1125,ROA006,Drainage Repair and Social Protection Package,1,7.85592,0.31349
1125,ROA005,Managed Retreat with Long-Term Support,2,7.59313,0.44465
1125,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.5422,0.37914
1125,ROA002,Public Housing Climate Retrofit,4,7.36224,0.40356
1125,ROA003,Community-Led Cooling and Care Network,5,6.62149,0.89838
1125,ROA004,Flood Defense for High-Value Assets,6,2.07752,3.41155
1125,ROA001,Household Preparedness Campaign,7,-0.0263,4.21621
1125,ROA007,Risk Mapping Dashboard Without Funding,8,-1.45604,5.11143
1126,ROA002,Public Housing Climate Retrofit,1,7.47245,0.28697
1126,ROA006,Drainage Repair and Social Protection Package,2,7.41159,0.50842
1126,ROA005,Managed Retreat with Long-Term Support,3,7.24151,0.58479
1126,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.12162,0.57281
