simulation_id,strategy_id,strategy,rank,economic_resilience_value,winner
1661,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.14174,Climate Transition and Just Regional Development Plan
1661,ER002,Supply Chain Buffer and Redundancy Strategy,4,7.98861,Climate Transition and Just Regional Development Plan
1661,ER001,Industrial Diversification and Local Production Program,5,7.8923,Climate Transition and Just Regional Development Plan
1661,ER006,Community Finance and Small Business Continuity Fund,6,7.8827,Climate Transition and Just Regional Development Plan
1662,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.6682,Countercyclical Stabilization and Public Investment Framework
1662,ER005,Climate Transition and Just Regional Development Plan,2,8.24229,Countercyclical Stabilization and Public Investment Framework
1662,ER001,Industrial Diversification and Local Production Program,3,8.11318,Countercyclical Stabilization and Public Investment Framework
1662,ER003,Workforce Retraining and Mobility Initiative,4,8.07063,Countercyclical Stabilization and Public Investment Framework
1662,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.0033,Countercyclical Stabilization and Public Investment Framework
1662,ER006,Community Finance and Small Business Continuity Fund,6,7.72276,Countercyclical Stabilization and Public Investment Framework
1663,ER005,Climate Transition and Just Regional Development Plan,1,8.83306,Climate Transition and Just Regional Development Plan
1663,ER006,Community Finance and Small Business Continuity Fund,2,8.5285,Climate Transition and Just Regional Development Plan
1663,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.31778,Climate Transition and Just Regional Development Plan
1663,ER001,Industrial Diversification and Local Production Program,4,8.0381,Climate Transition and Just Regional Development Plan
1663,ER003,Workforce Retraining and Mobility Initiative,5,8.02358,Climate Transition and Just Regional Development Plan
1663,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.72141,Climate Transition and Just Regional Development Plan
1664,ER005,Climate Transition and Just Regional Development Plan,1,8.66931,Climate Transition and Just Regional Development Plan
1664,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.4809,Climate Transition and Just Regional Development Plan
1664,ER006,Community Finance and Small Business Continuity Fund,3,8.3936,Climate Transition and Just Regional Development Plan
1664,ER001,Industrial Diversification and Local Production Program,4,8.18844,Climate Transition and Just Regional Development Plan
1664,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.13038,Climate Transition and Just Regional Development Plan
1664,ER003,Workforce Retraining and Mobility Initiative,6,7.79495,Climate Transition and Just Regional Development Plan
1665,ER005,Climate Transition and Just Regional Development Plan,1,8.43286,Climate Transition and Just Regional Development Plan
1665,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.27858,Climate Transition and Just Regional Development Plan
1665,ER006,Community Finance and Small Business Continuity Fund,3,8.05405,Climate Transition and Just Regional Development Plan
1665,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.03097,Climate Transition and Just Regional Development Plan
1665,ER003,Workforce Retraining and Mobility Initiative,5,7.97323,Climate Transition and Just Regional Development Plan
1665,ER001,Industrial Diversification and Local Production Program,6,7.9435,Climate Transition and Just Regional Development Plan
1666,ER003,Workforce Retraining and Mobility Initiative,1,8.48108,Workforce Retraining and Mobility Initiative
1666,ER005,Climate Transition and Just Regional Development Plan,2,8.39229,Workforce Retraining and Mobility Initiative
1666,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.24396,Workforce Retraining and Mobility Initiative
1666,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.18994,Workforce Retraining and Mobility Initiative
1666,ER006,Community Finance and Small Business Continuity Fund,5,8.12659,Workforce Retraining and Mobility Initiative
1666,ER001,Industrial Diversification and Local Production Program,6,7.9752,Workforce Retraining and Mobility Initiative
1667,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.4064,Countercyclical Stabilization and Public Investment Framework
1667,ER005,Climate Transition and Just Regional Development Plan,2,8.39023,Countercyclical Stabilization and Public Investment Framework
1667,ER006,Community Finance and Small Business Continuity Fund,3,8.23399,Countercyclical Stabilization and Public Investment Framework
1667,ER003,Workforce Retraining and Mobility Initiative,4,8.15652,Countercyclical Stabilization and Public Investment Framework
1667,ER001,Industrial Diversification and Local Production Program,5,8.10875,Countercyclical Stabilization and Public Investment Framework
1667,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.99605,Countercyclical Stabilization and Public Investment Framework
1668,ER005,Climate Transition and Just Regional Development Plan,1,8.64453,Climate Transition and Just Regional Development Plan
1668,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.49864,Climate Transition and Just Regional Development Plan
1668,ER001,Industrial Diversification and Local Production Program,3,8.37405,Climate Transition and Just Regional Development Plan
1668,ER003,Workforce Retraining and Mobility Initiative,4,8.22815,Climate Transition and Just Regional Development Plan
1668,ER006,Community Finance and Small Business Continuity Fund,5,8.11809,Climate Transition and Just Regional Development Plan
1668,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.90128,Climate Transition and Just Regional Development Plan
1669,ER005,Climate Transition and Just Regional Development Plan,1,8.99465,Climate Transition and Just Regional Development Plan
1669,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.16498,Climate Transition and Just Regional Development Plan
1669,ER006,Community Finance and Small Business Continuity Fund,3,8.07109,Climate Transition and Just Regional Development Plan
1669,ER001,Industrial Diversification and Local Production Program,4,7.94837,Climate Transition and Just Regional Development Plan
1669,ER003,Workforce Retraining and Mobility Initiative,5,7.92424,Climate Transition and Just Regional Development Plan
1669,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.74171,Climate Transition and Just Regional Development Plan
1670,ER005,Climate Transition and Just Regional Development Plan,1,9.08427,Climate Transition and Just Regional Development Plan
1670,ER001,Industrial Diversification and Local Production Program,2,8.49507,Climate Transition and Just Regional Development Plan
1670,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.44425,Climate Transition and Just Regional Development Plan
1670,ER006,Community Finance and Small Business Continuity Fund,4,8.2583,Climate Transition and Just Regional Development Plan
1670,ER003,Workforce Retraining and Mobility Initiative,5,8.11109,Climate Transition and Just Regional Development Plan
1670,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.06081,Climate Transition and Just Regional Development Plan
1671,ER003,Workforce Retraining and Mobility Initiative,1,8.47642,Workforce Retraining and Mobility Initiative
1671,ER005,Climate Transition and Just Regional Development Plan,2,8.40631,Workforce Retraining and Mobility Initiative
1671,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.07486,Workforce Retraining and Mobility Initiative
1671,ER001,Industrial Diversification and Local Production Program,4,7.93108,Workforce Retraining and Mobility Initiative
1671,ER006,Community Finance and Small Business Continuity Fund,5,7.6755,Workforce Retraining and Mobility Initiative
1671,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.57816,Workforce Retraining and Mobility Initiative
1672,ER006,Community Finance and Small Business Continuity Fund,1,8.42459,Community Finance and Small Business Continuity Fund
1672,ER001,Industrial Diversification and Local Production Program,2,8.33025,Community Finance and Small Business Continuity Fund
1672,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.17488,Community Finance and Small Business Continuity Fund
1672,ER005,Climate Transition and Just Regional Development Plan,4,7.99281,Community Finance and Small Business Continuity Fund
1672,ER003,Workforce Retraining and Mobility Initiative,5,7.90961,Community Finance and Small Business Continuity Fund
1672,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.79629,Community Finance and Small Business Continuity Fund
1673,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.61736,Countercyclical Stabilization and Public Investment Framework
1673,ER003,Workforce Retraining and Mobility Initiative,2,8.38148,Countercyclical Stabilization and Public Investment Framework
1673,ER005,Climate Transition and Just Regional Development Plan,3,8.35807,Countercyclical Stabilization and Public Investment Framework
1673,ER001,Industrial Diversification and Local Production Program,4,8.08546,Countercyclical Stabilization and Public Investment Framework
1673,ER006,Community Finance and Small Business Continuity Fund,5,7.98647,Countercyclical Stabilization and Public Investment Framework
1673,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.70451,Countercyclical Stabilization and Public Investment Framework
1674,ER006,Community Finance and Small Business Continuity Fund,1,8.55714,Community Finance and Small Business Continuity Fund
1674,ER005,Climate Transition and Just Regional Development Plan,2,8.35318,Community Finance and Small Business Continuity Fund
1674,ER001,Industrial Diversification and Local Production Program,3,8.26846,Community Finance and Small Business Continuity Fund
1674,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.10873,Community Finance and Small Business Continuity Fund
1674,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.97743,Community Finance and Small Business Continuity Fund
1674,ER003,Workforce Retraining and Mobility Initiative,6,7.70666,Community Finance and Small Business Continuity Fund
1675,ER005,Climate Transition and Just Regional Development Plan,1,8.52651,Climate Transition and Just Regional Development Plan
1675,ER003,Workforce Retraining and Mobility Initiative,2,8.45873,Climate Transition and Just Regional Development Plan
1675,ER001,Industrial Diversification and Local Production Program,3,8.30512,Climate Transition and Just Regional Development Plan
1675,ER006,Community Finance and Small Business Continuity Fund,4,8.168,Climate Transition and Just Regional Development Plan
1675,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.1332,Climate Transition and Just Regional Development Plan
1675,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.87217,Climate Transition and Just Regional Development Plan
1676,ER005,Climate Transition and Just Regional Development Plan,1,8.43718,Climate Transition and Just Regional Development Plan
1676,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.36705,Climate Transition and Just Regional Development Plan
1676,ER003,Workforce Retraining and Mobility Initiative,3,8.3283,Climate Transition and Just Regional Development Plan
1676,ER001,Industrial Diversification and Local Production Program,4,8.27958,Climate Transition and Just Regional Development Plan
1676,ER006,Community Finance and Small Business Continuity Fund,5,7.92428,Climate Transition and Just Regional Development Plan
1676,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.61204,Climate Transition and Just Regional Development Plan
1677,ER006,Community Finance and Small Business Continuity Fund,1,8.80138,Community Finance and Small Business Continuity Fund
1677,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.28736,Community Finance and Small Business Continuity Fund
1677,ER005,Climate Transition and Just Regional Development Plan,3,8.25609,Community Finance and Small Business Continuity Fund
1677,ER003,Workforce Retraining and Mobility Initiative,4,7.8868,Community Finance and Small Business Continuity Fund
1677,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.76467,Community Finance and Small Business Continuity Fund
1677,ER001,Industrial Diversification and Local Production Program,6,7.76,Community Finance and Small Business Continuity Fund
1678,ER005,Climate Transition and Just Regional Development Plan,1,8.33156,Climate Transition and Just Regional Development Plan
1678,ER001,Industrial Diversification and Local Production Program,2,8.32961,Climate Transition and Just Regional Development Plan
1678,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.29134,Climate Transition and Just Regional Development Plan
1678,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.22334,Climate Transition and Just Regional Development Plan
1678,ER006,Community Finance and Small Business Continuity Fund,5,7.86423,Climate Transition and Just Regional Development Plan
1678,ER003,Workforce Retraining and Mobility Initiative,6,7.5674,Climate Transition and Just Regional Development Plan
1679,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.54487,Countercyclical Stabilization and Public Investment Framework
1679,ER006,Community Finance and Small Business Continuity Fund,2,8.42631,Countercyclical Stabilization and Public Investment Framework
1679,ER005,Climate Transition and Just Regional Development Plan,3,8.30253,Countercyclical Stabilization and Public Investment Framework
1679,ER003,Workforce Retraining and Mobility Initiative,4,8.26814,Countercyclical Stabilization and Public Investment Framework
1679,ER001,Industrial Diversification and Local Production Program,5,7.85889,Countercyclical Stabilization and Public Investment Framework
1679,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.82338,Countercyclical Stabilization and Public Investment Framework
1680,ER001,Industrial Diversification and Local Production Program,1,8.32164,Industrial Diversification and Local Production Program
1680,ER005,Climate Transition and Just Regional Development Plan,2,8.23509,Industrial Diversification and Local Production Program
1680,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.16063,Industrial Diversification and Local Production Program
1680,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.14801,Industrial Diversification and Local Production Program
1680,ER006,Community Finance and Small Business Continuity Fund,5,8.10273,Industrial Diversification and Local Production Program
1680,ER003,Workforce Retraining and Mobility Initiative,6,8.05073,Industrial Diversification and Local Production Program
1681,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.29213,Countercyclical Stabilization and Public Investment Framework
1681,ER005,Climate Transition and Just Regional Development Plan,2,8.17967,Countercyclical Stabilization and Public Investment Framework
1681,ER001,Industrial Diversification and Local Production Program,3,8.17815,Countercyclical Stabilization and Public Investment Framework
1681,ER006,Community Finance and Small Business Continuity Fund,4,8.06417,Countercyclical Stabilization and Public Investment Framework
1681,ER003,Workforce Retraining and Mobility Initiative,5,8.01548,Countercyclical Stabilization and Public Investment Framework
1681,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.81583,Countercyclical Stabilization and Public Investment Framework
1682,ER005,Climate Transition and Just Regional Development Plan,1,8.67031,Climate Transition and Just Regional Development Plan
1682,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.63142,Climate Transition and Just Regional Development Plan
1682,ER001,Industrial Diversification and Local Production Program,3,8.37635,Climate Transition and Just Regional Development Plan
1682,ER003,Workforce Retraining and Mobility Initiative,4,8.29466,Climate Transition and Just Regional Development Plan
1682,ER006,Community Finance and Small Business Continuity Fund,5,8.28013,Climate Transition and Just Regional Development Plan
1682,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.73601,Climate Transition and Just Regional Development Plan
1683,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.25742,Countercyclical Stabilization and Public Investment Framework
1683,ER001,Industrial Diversification and Local Production Program,2,8.22677,Countercyclical Stabilization and Public Investment Framework
1683,ER003,Workforce Retraining and Mobility Initiative,3,8.03298,Countercyclical Stabilization and Public Investment Framework
1683,ER006,Community Finance and Small Business Continuity Fund,4,7.98115,Countercyclical Stabilization and Public Investment Framework
1683,ER005,Climate Transition and Just Regional Development Plan,5,7.95035,Countercyclical Stabilization and Public Investment Framework
1683,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.94578,Countercyclical Stabilization and Public Investment Framework
1684,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.34424,Countercyclical Stabilization and Public Investment Framework
1684,ER006,Community Finance and Small Business Continuity Fund,2,8.31936,Countercyclical Stabilization and Public Investment Framework
1684,ER001,Industrial Diversification and Local Production Program,3,8.25791,Countercyclical Stabilization and Public Investment Framework
1684,ER005,Climate Transition and Just Regional Development Plan,4,8.19666,Countercyclical Stabilization and Public Investment Framework
1684,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.02659,Countercyclical Stabilization and Public Investment Framework
1684,ER003,Workforce Retraining and Mobility Initiative,6,7.97462,Countercyclical Stabilization and Public Investment Framework
1685,ER003,Workforce Retraining and Mobility Initiative,1,8.30158,Workforce Retraining and Mobility Initiative
1685,ER006,Community Finance and Small Business Continuity Fund,2,8.24601,Workforce Retraining and Mobility Initiative
1685,ER001,Industrial Diversification and Local Production Program,3,8.13875,Workforce Retraining and Mobility Initiative
1685,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.08934,Workforce Retraining and Mobility Initiative
1685,ER005,Climate Transition and Just Regional Development Plan,5,8.03341,Workforce Retraining and Mobility Initiative
1685,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.85484,Workforce Retraining and Mobility Initiative
1686,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.84071,Countercyclical Stabilization and Public Investment Framework
1686,ER001,Industrial Diversification and Local Production Program,2,8.39444,Countercyclical Stabilization and Public Investment Framework
1686,ER005,Climate Transition and Just Regional Development Plan,3,8.29765,Countercyclical Stabilization and Public Investment Framework
1686,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.13656,Countercyclical Stabilization and Public Investment Framework
1686,ER006,Community Finance and Small Business Continuity Fund,5,8.06143,Countercyclical Stabilization and Public Investment Framework
1686,ER003,Workforce Retraining and Mobility Initiative,6,7.95402,Countercyclical Stabilization and Public Investment Framework
1687,ER005,Climate Transition and Just Regional Development Plan,1,8.78338,Climate Transition and Just Regional Development Plan
1687,ER003,Workforce Retraining and Mobility Initiative,2,8.44821,Climate Transition and Just Regional Development Plan
1687,ER006,Community Finance and Small Business Continuity Fund,3,8.2076,Climate Transition and Just Regional Development Plan
1687,ER004,Countercyclical Stabilization and Public Investment Framework,4,7.98262,Climate Transition and Just Regional Development Plan
1687,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.80844,Climate Transition and Just Regional Development Plan
1687,ER001,Industrial Diversification and Local Production Program,6,7.60894,Climate Transition and Just Regional Development Plan
1688,ER006,Community Finance and Small Business Continuity Fund,1,8.96099,Community Finance and Small Business Continuity Fund
1688,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.54627,Community Finance and Small Business Continuity Fund
1688,ER003,Workforce Retraining and Mobility Initiative,3,8.13443,Community Finance and Small Business Continuity Fund
1688,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.12657,Community Finance and Small Business Continuity Fund
1688,ER005,Climate Transition and Just Regional Development Plan,5,8.0312,Community Finance and Small Business Continuity Fund
1688,ER001,Industrial Diversification and Local Production Program,6,8.01098,Community Finance and Small Business Continuity Fund
1689,ER005,Climate Transition and Just Regional Development Plan,1,8.51905,Climate Transition and Just Regional Development Plan
1689,ER006,Community Finance and Small Business Continuity Fund,2,8.43421,Climate Transition and Just Regional Development Plan
1689,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.27692,Climate Transition and Just Regional Development Plan
1689,ER003,Workforce Retraining and Mobility Initiative,4,8.13576,Climate Transition and Just Regional Development Plan
1689,ER001,Industrial Diversification and Local Production Program,5,8.00423,Climate Transition and Just Regional Development Plan
1689,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.51651,Climate Transition and Just Regional Development Plan
1690,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.56933,Countercyclical Stabilization and Public Investment Framework
1690,ER005,Climate Transition and Just Regional Development Plan,2,8.37029,Countercyclical Stabilization and Public Investment Framework
1690,ER001,Industrial Diversification and Local Production Program,3,8.28162,Countercyclical Stabilization and Public Investment Framework
1690,ER003,Workforce Retraining and Mobility Initiative,4,7.9697,Countercyclical Stabilization and Public Investment Framework
1690,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.89454,Countercyclical Stabilization and Public Investment Framework
1690,ER006,Community Finance and Small Business Continuity Fund,6,7.82402,Countercyclical Stabilization and Public Investment Framework
1691,ER001,Industrial Diversification and Local Production Program,1,8.57442,Industrial Diversification and Local Production Program
1691,ER005,Climate Transition and Just Regional Development Plan,2,8.23519,Industrial Diversification and Local Production Program
1691,ER003,Workforce Retraining and Mobility Initiative,3,8.19372,Industrial Diversification and Local Production Program
1691,ER006,Community Finance and Small Business Continuity Fund,4,8.13184,Industrial Diversification and Local Production Program
1691,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.05528,Industrial Diversification and Local Production Program
1691,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.01703,Industrial Diversification and Local Production Program
1692,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.75105,Countercyclical Stabilization and Public Investment Framework
1692,ER003,Workforce Retraining and Mobility Initiative,2,8.63896,Countercyclical Stabilization and Public Investment Framework
1692,ER006,Community Finance and Small Business Continuity Fund,3,8.513,Countercyclical Stabilization and Public Investment Framework
1692,ER005,Climate Transition and Just Regional Development Plan,4,8.45279,Countercyclical Stabilization and Public Investment Framework
1692,ER001,Industrial Diversification and Local Production Program,5,8.32067,Countercyclical Stabilization and Public Investment Framework
1692,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.46524,Countercyclical Stabilization and Public Investment Framework
1693,ER005,Climate Transition and Just Regional Development Plan,1,8.63623,Climate Transition and Just Regional Development Plan
1693,ER006,Community Finance and Small Business Continuity Fund,2,8.38359,Climate Transition and Just Regional Development Plan
1693,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.31195,Climate Transition and Just Regional Development Plan
1693,ER001,Industrial Diversification and Local Production Program,4,7.87194,Climate Transition and Just Regional Development Plan
1693,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.82696,Climate Transition and Just Regional Development Plan
1693,ER003,Workforce Retraining and Mobility Initiative,6,7.77786,Climate Transition and Just Regional Development Plan
1694,ER001,Industrial Diversification and Local Production Program,1,8.40988,Industrial Diversification and Local Production Program
1694,ER005,Climate Transition and Just Regional Development Plan,2,8.21507,Industrial Diversification and Local Production Program
1694,ER003,Workforce Retraining and Mobility Initiative,3,8.18008,Industrial Diversification and Local Production Program
1694,ER006,Community Finance and Small Business Continuity Fund,4,8.12086,Industrial Diversification and Local Production Program
1694,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.07759,Industrial Diversification and Local Production Program
1694,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.88964,Industrial Diversification and Local Production Program
1695,ER005,Climate Transition and Just Regional Development Plan,1,8.48148,Climate Transition and Just Regional Development Plan
1695,ER001,Industrial Diversification and Local Production Program,2,8.38928,Climate Transition and Just Regional Development Plan
1695,ER006,Community Finance and Small Business Continuity Fund,3,8.30161,Climate Transition and Just Regional Development Plan
1695,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.16095,Climate Transition and Just Regional Development Plan
1695,ER003,Workforce Retraining and Mobility Initiative,5,8.03785,Climate Transition and Just Regional Development Plan
1695,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.85149,Climate Transition and Just Regional Development Plan
1696,ER005,Climate Transition and Just Regional Development Plan,1,8.45296,Climate Transition and Just Regional Development Plan
1696,ER001,Industrial Diversification and Local Production Program,2,8.28451,Climate Transition and Just Regional Development Plan
1696,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.14979,Climate Transition and Just Regional Development Plan
1696,ER006,Community Finance and Small Business Continuity Fund,4,8.09302,Climate Transition and Just Regional Development Plan
1696,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.82062,Climate Transition and Just Regional Development Plan
1696,ER003,Workforce Retraining and Mobility Initiative,6,7.72201,Climate Transition and Just Regional Development Plan
1697,ER006,Community Finance and Small Business Continuity Fund,1,8.60914,Community Finance and Small Business Continuity Fund
1697,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.60594,Community Finance and Small Business Continuity Fund
1697,ER005,Climate Transition and Just Regional Development Plan,3,8.55716,Community Finance and Small Business Continuity Fund
1697,ER003,Workforce Retraining and Mobility Initiative,4,8.21066,Community Finance and Small Business Continuity Fund
1697,ER001,Industrial Diversification and Local Production Program,5,8.11213,Community Finance and Small Business Continuity Fund
1697,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.95959,Community Finance and Small Business Continuity Fund
1698,ER006,Community Finance and Small Business Continuity Fund,1,8.53465,Community Finance and Small Business Continuity Fund
1698,ER003,Workforce Retraining and Mobility Initiative,2,8.46698,Community Finance and Small Business Continuity Fund
1698,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.36137,Community Finance and Small Business Continuity Fund
1698,ER005,Climate Transition and Just Regional Development Plan,4,8.31212,Community Finance and Small Business Continuity Fund
1698,ER001,Industrial Diversification and Local Production Program,5,8.01933,Community Finance and Small Business Continuity Fund
1698,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.67557,Community Finance and Small Business Continuity Fund
1699,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.38319,Countercyclical Stabilization and Public Investment Framework
1699,ER001,Industrial Diversification and Local Production Program,2,8.33462,Countercyclical Stabilization and Public Investment Framework
1699,ER005,Climate Transition and Just Regional Development Plan,3,8.30299,Countercyclical Stabilization and Public Investment Framework
1699,ER003,Workforce Retraining and Mobility Initiative,4,8.26316,Countercyclical Stabilization and Public Investment Framework
1699,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.0922,Countercyclical Stabilization and Public Investment Framework
1699,ER006,Community Finance and Small Business Continuity Fund,6,8.04742,Countercyclical Stabilization and Public Investment Framework
1700,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.53333,Countercyclical Stabilization and Public Investment Framework
1700,ER005,Climate Transition and Just Regional Development Plan,2,8.52014,Countercyclical Stabilization and Public Investment Framework
1700,ER003,Workforce Retraining and Mobility Initiative,3,8.48651,Countercyclical Stabilization and Public Investment Framework
1700,ER006,Community Finance and Small Business Continuity Fund,4,8.10328,Countercyclical Stabilization and Public Investment Framework
1700,ER001,Industrial Diversification and Local Production Program,5,7.84128,Countercyclical Stabilization and Public Investment Framework
1700,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.52761,Countercyclical Stabilization and Public Investment Framework
1701,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.85377,Countercyclical Stabilization and Public Investment Framework
1701,ER005,Climate Transition and Just Regional Development Plan,2,8.67488,Countercyclical Stabilization and Public Investment Framework
1701,ER006,Community Finance and Small Business Continuity Fund,3,8.06595,Countercyclical Stabilization and Public Investment Framework
1701,ER003,Workforce Retraining and Mobility Initiative,4,8.06251,Countercyclical Stabilization and Public Investment Framework
1701,ER001,Industrial Diversification and Local Production Program,5,7.9831,Countercyclical Stabilization and Public Investment Framework
1701,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.96339,Countercyclical Stabilization and Public Investment Framework
1702,ER003,Workforce Retraining and Mobility Initiative,1,8.09276,Workforce Retraining and Mobility Initiative
1702,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.04515,Workforce Retraining and Mobility Initiative
1702,ER006,Community Finance and Small Business Continuity Fund,3,8.04292,Workforce Retraining and Mobility Initiative
1702,ER005,Climate Transition and Just Regional Development Plan,4,8.03753,Workforce Retraining and Mobility Initiative
1702,ER001,Industrial Diversification and Local Production Program,5,7.97704,Workforce Retraining and Mobility Initiative
1702,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.97616,Workforce Retraining and Mobility Initiative
1703,ER005,Climate Transition and Just Regional Development Plan,1,8.51824,Climate Transition and Just Regional Development Plan
1703,ER001,Industrial Diversification and Local Production Program,2,8.49264,Climate Transition and Just Regional Development Plan
1703,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.22655,Climate Transition and Just Regional Development Plan
1703,ER003,Workforce Retraining and Mobility Initiative,4,8.11361,Climate Transition and Just Regional Development Plan
1703,ER006,Community Finance and Small Business Continuity Fund,5,8.04317,Climate Transition and Just Regional Development Plan
1703,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.71103,Climate Transition and Just Regional Development Plan
1704,ER001,Industrial Diversification and Local Production Program,1,8.23885,Industrial Diversification and Local Production Program
1704,ER005,Climate Transition and Just Regional Development Plan,2,8.22904,Industrial Diversification and Local Production Program
1704,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.2098,Industrial Diversification and Local Production Program
1704,ER006,Community Finance and Small Business Continuity Fund,4,7.92483,Industrial Diversification and Local Production Program
1704,ER003,Workforce Retraining and Mobility Initiative,5,7.84351,Industrial Diversification and Local Production Program
1704,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.53877,Industrial Diversification and Local Production Program
1705,ER005,Climate Transition and Just Regional Development Plan,1,8.41382,Climate Transition and Just Regional Development Plan
1705,ER001,Industrial Diversification and Local Production Program,2,8.34178,Climate Transition and Just Regional Development Plan
1705,ER006,Community Finance and Small Business Continuity Fund,3,8.30585,Climate Transition and Just Regional Development Plan
1705,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.21182,Climate Transition and Just Regional Development Plan
1705,ER003,Workforce Retraining and Mobility Initiative,5,8.21067,Climate Transition and Just Regional Development Plan
1705,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.45196,Climate Transition and Just Regional Development Plan
1706,ER005,Climate Transition and Just Regional Development Plan,1,8.64383,Climate Transition and Just Regional Development Plan
1706,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.32106,Climate Transition and Just Regional Development Plan
1706,ER006,Community Finance and Small Business Continuity Fund,3,8.18787,Climate Transition and Just Regional Development Plan
1706,ER001,Industrial Diversification and Local Production Program,4,8.16087,Climate Transition and Just Regional Development Plan
