simulation_id,strategy_id,strategy,rank,organizational_resilience_value
783,OR004,Institutional Memory and Knowledge Architecture Program,5,7.22965
783,OR002,Cross-Training and Role Redundancy Program,6,7.0389
784,OR003,After-Action Learning and Corrective Action System,1,7.58483
784,OR006,Operational Resilience and Continuity Exercise Program,2,7.52323
784,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.43734
784,OR001,Critical Function and Dependency Mapping,4,7.4145
784,OR002,Cross-Training and Role Redundancy Program,5,7.12735
784,OR004,Institutional Memory and Knowledge Architecture Program,6,6.98005
785,OR002,Cross-Training and Role Redundancy Program,1,7.44441
785,OR006,Operational Resilience and Continuity Exercise Program,2,7.34746
785,OR003,After-Action Learning and Corrective Action System,3,7.32206
785,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.31626
785,OR001,Critical Function and Dependency Mapping,5,7.25046
785,OR004,Institutional Memory and Knowledge Architecture Program,6,7.10093
786,OR003,After-Action Learning and Corrective Action System,1,7.51474
786,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.50674
786,OR001,Critical Function and Dependency Mapping,3,7.32235
786,OR006,Operational Resilience and Continuity Exercise Program,4,7.2914
786,OR002,Cross-Training and Role Redundancy Program,5,7.03416
786,OR004,Institutional Memory and Knowledge Architecture Program,6,7.00965
787,OR004,Institutional Memory and Knowledge Architecture Program,1,7.66326
787,OR006,Operational Resilience and Continuity Exercise Program,2,7.52198
787,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.50083
787,OR002,Cross-Training and Role Redundancy Program,4,7.34144
787,OR003,After-Action Learning and Corrective Action System,5,7.27346
787,OR001,Critical Function and Dependency Mapping,6,7.10291
788,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.63581
788,OR001,Critical Function and Dependency Mapping,2,7.34495
788,OR006,Operational Resilience and Continuity Exercise Program,3,7.3387
788,OR004,Institutional Memory and Knowledge Architecture Program,4,7.2578
788,OR002,Cross-Training and Role Redundancy Program,5,7.22235
788,OR003,After-Action Learning and Corrective Action System,6,7.1761
789,OR001,Critical Function and Dependency Mapping,1,7.49659
789,OR003,After-Action Learning and Corrective Action System,2,7.45091
789,OR006,Operational Resilience and Continuity Exercise Program,3,7.36158
789,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.31523
789,OR004,Institutional Memory and Knowledge Architecture Program,5,7.30158
789,OR002,Cross-Training and Role Redundancy Program,6,7.08409
790,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.62921
790,OR006,Operational Resilience and Continuity Exercise Program,2,7.49394
790,OR002,Cross-Training and Role Redundancy Program,3,7.30147
790,OR003,After-Action Learning and Corrective Action System,4,7.2808
790,OR004,Institutional Memory and Knowledge Architecture Program,5,7.10754
790,OR001,Critical Function and Dependency Mapping,6,7.05124
791,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.57934
791,OR003,After-Action Learning and Corrective Action System,2,7.54488
791,OR004,Institutional Memory and Knowledge Architecture Program,3,7.4927
791,OR002,Cross-Training and Role Redundancy Program,4,7.42028
791,OR006,Operational Resilience and Continuity Exercise Program,5,7.38486
791,OR001,Critical Function and Dependency Mapping,6,7.02597
792,OR006,Operational Resilience and Continuity Exercise Program,1,7.54203
792,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.4034
792,OR001,Critical Function and Dependency Mapping,3,7.39734
792,OR003,After-Action Learning and Corrective Action System,4,7.23907
792,OR004,Institutional Memory and Knowledge Architecture Program,5,7.17961
792,OR002,Cross-Training and Role Redundancy Program,6,7.1122
793,OR003,After-Action Learning and Corrective Action System,1,7.5051
793,OR002,Cross-Training and Role Redundancy Program,2,7.40963
793,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.20366
793,OR004,Institutional Memory and Knowledge Architecture Program,4,7.19663
793,OR006,Operational Resilience and Continuity Exercise Program,5,7.14883
793,OR001,Critical Function and Dependency Mapping,6,7.0887
794,OR001,Critical Function and Dependency Mapping,1,7.8817
794,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.37991
794,OR002,Cross-Training and Role Redundancy Program,3,7.31551
794,OR004,Institutional Memory and Knowledge Architecture Program,4,7.29132
794,OR006,Operational Resilience and Continuity Exercise Program,5,7.24899
794,OR003,After-Action Learning and Corrective Action System,6,7.23899
795,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.55052
795,OR001,Critical Function and Dependency Mapping,2,7.39104
795,OR003,After-Action Learning and Corrective Action System,3,7.3283
795,OR006,Operational Resilience and Continuity Exercise Program,4,7.24243
795,OR002,Cross-Training and Role Redundancy Program,5,6.93667
795,OR004,Institutional Memory and Knowledge Architecture Program,6,6.8046
796,OR003,After-Action Learning and Corrective Action System,1,7.6909
796,OR002,Cross-Training and Role Redundancy Program,2,7.51146
796,OR006,Operational Resilience and Continuity Exercise Program,3,7.50723
796,OR004,Institutional Memory and Knowledge Architecture Program,4,7.44743
796,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.38254
796,OR001,Critical Function and Dependency Mapping,6,7.29527
797,OR006,Operational Resilience and Continuity Exercise Program,1,7.68167
797,OR001,Critical Function and Dependency Mapping,2,7.35354
797,OR004,Institutional Memory and Knowledge Architecture Program,3,7.1448
797,OR003,After-Action Learning and Corrective Action System,4,7.128
797,OR002,Cross-Training and Role Redundancy Program,5,7.0488
797,OR005,Psychological Safety and Weak-Signal Reporting System,6,6.9992
798,OR006,Operational Resilience and Continuity Exercise Program,1,7.52806
798,OR004,Institutional Memory and Knowledge Architecture Program,2,7.52218
798,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42708
798,OR003,After-Action Learning and Corrective Action System,4,7.25022
798,OR002,Cross-Training and Role Redundancy Program,5,7.06992
798,OR001,Critical Function and Dependency Mapping,6,7.02308
799,OR003,After-Action Learning and Corrective Action System,1,7.96026
799,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.5858
799,OR006,Operational Resilience and Continuity Exercise Program,3,7.51117
799,OR001,Critical Function and Dependency Mapping,4,7.41318
799,OR004,Institutional Memory and Knowledge Architecture Program,5,7.36388
799,OR002,Cross-Training and Role Redundancy Program,6,7.34991
800,OR003,After-Action Learning and Corrective Action System,1,7.78787
800,OR004,Institutional Memory and Knowledge Architecture Program,2,7.48014
800,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.41699
800,OR006,Operational Resilience and Continuity Exercise Program,4,7.30668
800,OR001,Critical Function and Dependency Mapping,5,7.12282
800,OR002,Cross-Training and Role Redundancy Program,6,7.08919
801,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.44308
801,OR002,Cross-Training and Role Redundancy Program,2,7.40962
801,OR003,After-Action Learning and Corrective Action System,3,7.39733
801,OR006,Operational Resilience and Continuity Exercise Program,4,7.28797
801,OR001,Critical Function and Dependency Mapping,5,7.26684
801,OR004,Institutional Memory and Knowledge Architecture Program,6,7.16262
802,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.40867
802,OR006,Operational Resilience and Continuity Exercise Program,2,7.38673
802,OR004,Institutional Memory and Knowledge Architecture Program,3,7.3034
802,OR002,Cross-Training and Role Redundancy Program,4,7.15645
802,OR003,After-Action Learning and Corrective Action System,5,7.00963
802,OR001,Critical Function and Dependency Mapping,6,6.8724
803,OR001,Critical Function and Dependency Mapping,1,7.51938
803,OR006,Operational Resilience and Continuity Exercise Program,2,7.47946
803,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42814
803,OR003,After-Action Learning and Corrective Action System,4,7.22492
803,OR002,Cross-Training and Role Redundancy Program,5,7.05209
803,OR004,Institutional Memory and Knowledge Architecture Program,6,6.90896
804,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.56999
804,OR006,Operational Resilience and Continuity Exercise Program,2,7.50758
804,OR003,After-Action Learning and Corrective Action System,3,7.4279
804,OR004,Institutional Memory and Knowledge Architecture Program,4,7.3834
804,OR001,Critical Function and Dependency Mapping,5,7.38103
804,OR002,Cross-Training and Role Redundancy Program,6,7.24541
805,OR006,Operational Resilience and Continuity Exercise Program,1,7.65412
805,OR003,After-Action Learning and Corrective Action System,2,7.5174
805,OR001,Critical Function and Dependency Mapping,3,7.4072
805,OR004,Institutional Memory and Knowledge Architecture Program,4,7.3737
805,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.02004
805,OR002,Cross-Training and Role Redundancy Program,6,6.8129
806,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.66736
806,OR003,After-Action Learning and Corrective Action System,2,7.46991
806,OR004,Institutional Memory and Knowledge Architecture Program,3,7.442
806,OR002,Cross-Training and Role Redundancy Program,4,7.34732
806,OR001,Critical Function and Dependency Mapping,5,7.32809
806,OR006,Operational Resilience and Continuity Exercise Program,6,7.15784
807,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.51981
807,OR006,Operational Resilience and Continuity Exercise Program,2,7.297
807,OR003,After-Action Learning and Corrective Action System,3,7.23495
807,OR001,Critical Function and Dependency Mapping,4,7.15184
807,OR002,Cross-Training and Role Redundancy Program,5,7.11242
807,OR004,Institutional Memory and Knowledge Architecture Program,6,7.04374
808,OR001,Critical Function and Dependency Mapping,1,7.6399
808,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.4552
808,OR004,Institutional Memory and Knowledge Architecture Program,3,7.44369
808,OR003,After-Action Learning and Corrective Action System,4,7.43683
808,OR002,Cross-Training and Role Redundancy Program,5,7.29054
808,OR006,Operational Resilience and Continuity Exercise Program,6,7.11708
809,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.63006
809,OR004,Institutional Memory and Knowledge Architecture Program,2,7.51218
809,OR006,Operational Resilience and Continuity Exercise Program,3,7.35626
809,OR003,After-Action Learning and Corrective Action System,4,7.24089
809,OR002,Cross-Training and Role Redundancy Program,5,7.11013
809,OR001,Critical Function and Dependency Mapping,6,6.96463
810,OR001,Critical Function and Dependency Mapping,1,7.35237
810,OR003,After-Action Learning and Corrective Action System,2,7.34297
810,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.25662
810,OR002,Cross-Training and Role Redundancy Program,4,7.25526
810,OR006,Operational Resilience and Continuity Exercise Program,5,7.23729
810,OR004,Institutional Memory and Knowledge Architecture Program,6,7.17646
811,OR004,Institutional Memory and Knowledge Architecture Program,1,7.74317
811,OR006,Operational Resilience and Continuity Exercise Program,2,7.61431
811,OR002,Cross-Training and Role Redundancy Program,3,7.3182
811,OR003,After-Action Learning and Corrective Action System,4,7.28791
811,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.17043
811,OR001,Critical Function and Dependency Mapping,6,7.14481
812,OR003,After-Action Learning and Corrective Action System,1,7.70505
812,OR006,Operational Resilience and Continuity Exercise Program,2,7.46199
812,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.43919
812,OR004,Institutional Memory and Knowledge Architecture Program,4,7.32058
812,OR001,Critical Function and Dependency Mapping,5,7.26067
812,OR002,Cross-Training and Role Redundancy Program,6,6.92014
813,OR003,After-Action Learning and Corrective Action System,1,7.70915
813,OR006,Operational Resilience and Continuity Exercise Program,2,7.41408
813,OR004,Institutional Memory and Knowledge Architecture Program,3,7.38525
813,OR001,Critical Function and Dependency Mapping,4,7.36157
813,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.25235
813,OR002,Cross-Training and Role Redundancy Program,6,7.12655
814,OR006,Operational Resilience and Continuity Exercise Program,1,7.67998
814,OR003,After-Action Learning and Corrective Action System,2,7.5654
814,OR002,Cross-Training and Role Redundancy Program,3,7.5631
814,OR001,Critical Function and Dependency Mapping,4,7.36946
814,OR004,Institutional Memory and Knowledge Architecture Program,5,7.30504
814,OR005,Psychological Safety and Weak-Signal Reporting System,6,6.95014
815,OR006,Operational Resilience and Continuity Exercise Program,1,7.80047
815,OR003,After-Action Learning and Corrective Action System,2,7.52371
815,OR002,Cross-Training and Role Redundancy Program,3,7.52023
815,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.36474
815,OR001,Critical Function and Dependency Mapping,5,7.28472
815,OR004,Institutional Memory and Knowledge Architecture Program,6,6.99624
816,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.49389
816,OR006,Operational Resilience and Continuity Exercise Program,2,7.42627
816,OR002,Cross-Training and Role Redundancy Program,3,7.41901
816,OR003,After-Action Learning and Corrective Action System,4,7.3659
816,OR001,Critical Function and Dependency Mapping,5,7.29248
816,OR004,Institutional Memory and Knowledge Architecture Program,6,7.22453
817,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.38074
817,OR003,After-Action Learning and Corrective Action System,2,7.37552
817,OR001,Critical Function and Dependency Mapping,3,7.30894
817,OR006,Operational Resilience and Continuity Exercise Program,4,7.2418
817,OR004,Institutional Memory and Knowledge Architecture Program,5,7.14686
817,OR002,Cross-Training and Role Redundancy Program,6,6.86755
818,OR003,After-Action Learning and Corrective Action System,1,7.5414
818,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.52817
818,OR001,Critical Function and Dependency Mapping,3,7.45702
818,OR006,Operational Resilience and Continuity Exercise Program,4,7.32503
818,OR004,Institutional Memory and Knowledge Architecture Program,5,7.30367
818,OR002,Cross-Training and Role Redundancy Program,6,6.97074
819,OR006,Operational Resilience and Continuity Exercise Program,1,7.63668
819,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.50821
819,OR003,After-Action Learning and Corrective Action System,3,7.44042
819,OR001,Critical Function and Dependency Mapping,4,7.32507
819,OR002,Cross-Training and Role Redundancy Program,5,7.24068
819,OR004,Institutional Memory and Knowledge Architecture Program,6,7.08157
820,OR006,Operational Resilience and Continuity Exercise Program,1,7.55545
820,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.43858
820,OR004,Institutional Memory and Knowledge Architecture Program,3,7.41431
820,OR003,After-Action Learning and Corrective Action System,4,7.36293
820,OR001,Critical Function and Dependency Mapping,5,7.21271
820,OR002,Cross-Training and Role Redundancy Program,6,6.99913
821,OR004,Institutional Memory and Knowledge Architecture Program,1,7.52061
821,OR006,Operational Resilience and Continuity Exercise Program,2,7.25802
821,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.23478
821,OR002,Cross-Training and Role Redundancy Program,4,7.23158
821,OR001,Critical Function and Dependency Mapping,5,7.22915
821,OR003,After-Action Learning and Corrective Action System,6,7.07988
822,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.5503
822,OR003,After-Action Learning and Corrective Action System,2,7.4385
822,OR004,Institutional Memory and Knowledge Architecture Program,3,7.33644
822,OR006,Operational Resilience and Continuity Exercise Program,4,7.33433
822,OR001,Critical Function and Dependency Mapping,5,7.2057
822,OR002,Cross-Training and Role Redundancy Program,6,7.11888
823,OR006,Operational Resilience and Continuity Exercise Program,1,7.79733
823,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.4371
823,OR002,Cross-Training and Role Redundancy Program,3,7.37543
823,OR003,After-Action Learning and Corrective Action System,4,7.36912
823,OR004,Institutional Memory and Knowledge Architecture Program,5,7.30343
823,OR001,Critical Function and Dependency Mapping,6,7.29264
824,OR006,Operational Resilience and Continuity Exercise Program,1,7.66519
824,OR003,After-Action Learning and Corrective Action System,2,7.61828
824,OR001,Critical Function and Dependency Mapping,3,7.49205
824,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.45699
824,OR002,Cross-Training and Role Redundancy Program,5,7.08505
824,OR004,Institutional Memory and Knowledge Architecture Program,6,7.0229
825,OR004,Institutional Memory and Knowledge Architecture Program,1,7.51589
825,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.49218
825,OR001,Critical Function and Dependency Mapping,3,7.47555
825,OR003,After-Action Learning and Corrective Action System,4,7.4439
825,OR002,Cross-Training and Role Redundancy Program,5,7.36547
825,OR006,Operational Resilience and Continuity Exercise Program,6,7.35445
826,OR003,After-Action Learning and Corrective Action System,1,7.47507
826,OR006,Operational Resilience and Continuity Exercise Program,2,7.32256
826,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.24676
826,OR001,Critical Function and Dependency Mapping,4,7.21783
826,OR004,Institutional Memory and Knowledge Architecture Program,5,7.21247
826,OR002,Cross-Training and Role Redundancy Program,6,7.11209
827,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.8483
827,OR003,After-Action Learning and Corrective Action System,2,7.52399
827,OR004,Institutional Memory and Knowledge Architecture Program,3,7.48934
827,OR006,Operational Resilience and Continuity Exercise Program,4,7.45229
827,OR002,Cross-Training and Role Redundancy Program,5,7.36916
827,OR001,Critical Function and Dependency Mapping,6,7.30533
828,OR006,Operational Resilience and Continuity Exercise Program,1,7.52626
828,OR003,After-Action Learning and Corrective Action System,2,7.41233
828,OR002,Cross-Training and Role Redundancy Program,3,7.41032
828,OR001,Critical Function and Dependency Mapping,4,7.33964
828,OR004,Institutional Memory and Knowledge Architecture Program,5,7.31865
828,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.24302
829,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.46243
829,OR003,After-Action Learning and Corrective Action System,2,7.40505
829,OR001,Critical Function and Dependency Mapping,3,7.28881
829,OR004,Institutional Memory and Knowledge Architecture Program,4,7.19657
829,OR002,Cross-Training and Role Redundancy Program,5,7.09207
829,OR006,Operational Resilience and Continuity Exercise Program,6,7.06648
830,OR006,Operational Resilience and Continuity Exercise Program,1,7.63637
830,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.52603
830,OR003,After-Action Learning and Corrective Action System,3,7.49659
830,OR004,Institutional Memory and Knowledge Architecture Program,4,7.09275
830,OR002,Cross-Training and Role Redundancy Program,5,7.02281
830,OR001,Critical Function and Dependency Mapping,6,6.97243
831,OR006,Operational Resilience and Continuity Exercise Program,1,7.59934
831,OR004,Institutional Memory and Knowledge Architecture Program,2,7.46517
831,OR003,After-Action Learning and Corrective Action System,3,7.3955
831,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.31626
831,OR002,Cross-Training and Role Redundancy Program,5,7.27643
831,OR001,Critical Function and Dependency Mapping,6,6.87727
832,OR006,Operational Resilience and Continuity Exercise Program,1,7.38574
832,OR003,After-Action Learning and Corrective Action System,2,7.35814
832,OR001,Critical Function and Dependency Mapping,3,7.26408
832,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.21108
832,OR002,Cross-Training and Role Redundancy Program,5,7.20379
832,OR004,Institutional Memory and Knowledge Architecture Program,6,7.10208
833,OR003,After-Action Learning and Corrective Action System,1,7.84253
833,OR006,Operational Resilience and Continuity Exercise Program,2,7.60551
833,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.50359
833,OR004,Institutional Memory and Knowledge Architecture Program,4,7.43348
833,OR001,Critical Function and Dependency Mapping,5,7.31817
833,OR002,Cross-Training and Role Redundancy Program,6,7.21716
834,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.70054
834,OR004,Institutional Memory and Knowledge Architecture Program,2,7.45508
834,OR006,Operational Resilience and Continuity Exercise Program,3,7.43567
834,OR001,Critical Function and Dependency Mapping,4,7.3481
834,OR003,After-Action Learning and Corrective Action System,5,7.16066
834,OR002,Cross-Training and Role Redundancy Program,6,6.89773
835,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.63317
835,OR004,Institutional Memory and Knowledge Architecture Program,2,7.32481
835,OR003,After-Action Learning and Corrective Action System,3,7.27102
835,OR002,Cross-Training and Role Redundancy Program,4,7.19891
835,OR006,Operational Resilience and Continuity Exercise Program,5,7.16629
835,OR001,Critical Function and Dependency Mapping,6,7.13251
836,OR001,Critical Function and Dependency Mapping,1,7.66081
836,OR006,Operational Resilience and Continuity Exercise Program,2,7.49781
836,OR002,Cross-Training and Role Redundancy Program,3,7.29834
836,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.26173
836,OR004,Institutional Memory and Knowledge Architecture Program,5,7.25879
836,OR003,After-Action Learning and Corrective Action System,6,7.22821
837,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.78172
837,OR004,Institutional Memory and Knowledge Architecture Program,2,7.45602
837,OR006,Operational Resilience and Continuity Exercise Program,3,7.37214
837,OR001,Critical Function and Dependency Mapping,4,7.30654
837,OR003,After-Action Learning and Corrective Action System,5,7.29408
837,OR002,Cross-Training and Role Redundancy Program,6,7.27732
838,OR003,After-Action Learning and Corrective Action System,1,7.55329
838,OR006,Operational Resilience and Continuity Exercise Program,2,7.48201
838,OR001,Critical Function and Dependency Mapping,3,7.46317
838,OR002,Cross-Training and Role Redundancy Program,4,7.45942
838,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.31723
838,OR004,Institutional Memory and Knowledge Architecture Program,6,7.15396
839,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.59618
839,OR003,After-Action Learning and Corrective Action System,2,7.5755
839,OR004,Institutional Memory and Knowledge Architecture Program,3,7.36932
839,OR006,Operational Resilience and Continuity Exercise Program,4,7.36873
839,OR002,Cross-Training and Role Redundancy Program,5,7.34123
839,OR001,Critical Function and Dependency Mapping,6,7.29732
840,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.62906
840,OR006,Operational Resilience and Continuity Exercise Program,2,7.48221
840,OR004,Institutional Memory and Knowledge Architecture Program,3,7.46964
840,OR001,Critical Function and Dependency Mapping,4,7.4446
840,OR003,After-Action Learning and Corrective Action System,5,7.20633
840,OR002,Cross-Training and Role Redundancy Program,6,6.90301
841,OR003,After-Action Learning and Corrective Action System,1,7.57295
841,OR004,Institutional Memory and Knowledge Architecture Program,2,7.36106
841,OR001,Critical Function and Dependency Mapping,3,7.27239
841,OR006,Operational Resilience and Continuity Exercise Program,4,7.17438
841,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.16263
841,OR002,Cross-Training and Role Redundancy Program,6,7.05327
842,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.73444
842,OR006,Operational Resilience and Continuity Exercise Program,2,7.52191
842,OR001,Critical Function and Dependency Mapping,3,7.45287
842,OR004,Institutional Memory and Knowledge Architecture Program,4,7.37229
842,OR002,Cross-Training and Role Redundancy Program,5,7.35812
842,OR003,After-Action Learning and Corrective Action System,6,7.31221
843,OR003,After-Action Learning and Corrective Action System,1,7.78729
843,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.71974
843,OR006,Operational Resilience and Continuity Exercise Program,3,7.60442
843,OR001,Critical Function and Dependency Mapping,4,7.49305
843,OR004,Institutional Memory and Knowledge Architecture Program,5,7.15436
843,OR002,Cross-Training and Role Redundancy Program,6,7.03566
844,OR003,After-Action Learning and Corrective Action System,1,7.7885
844,OR006,Operational Resilience and Continuity Exercise Program,2,7.45741
844,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.40558
844,OR004,Institutional Memory and Knowledge Architecture Program,4,7.25742
844,OR001,Critical Function and Dependency Mapping,5,7.21965
844,OR002,Cross-Training and Role Redundancy Program,6,7.03089
845,OR006,Operational Resilience and Continuity Exercise Program,1,7.71381
845,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.645
845,OR003,After-Action Learning and Corrective Action System,3,7.29829
845,OR004,Institutional Memory and Knowledge Architecture Program,4,7.27372
845,OR001,Critical Function and Dependency Mapping,5,7.26511
845,OR002,Cross-Training and Role Redundancy Program,6,7.08809
846,OR006,Operational Resilience and Continuity Exercise Program,1,7.68733
846,OR003,After-Action Learning and Corrective Action System,2,7.51514
846,OR002,Cross-Training and Role Redundancy Program,3,7.47447
846,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.32541
846,OR001,Critical Function and Dependency Mapping,5,7.20467
846,OR004,Institutional Memory and Knowledge Architecture Program,6,7.10211
847,OR002,Cross-Training and Role Redundancy Program,1,7.52433
847,OR006,Operational Resilience and Continuity Exercise Program,2,7.42268
847,OR003,After-Action Learning and Corrective Action System,3,7.30002
847,OR001,Critical Function and Dependency Mapping,4,7.27939
847,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.14958
847,OR004,Institutional Memory and Knowledge Architecture Program,6,7.11364
848,OR006,Operational Resilience and Continuity Exercise Program,1,7.7587
848,OR003,After-Action Learning and Corrective Action System,2,7.45469
848,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42847
848,OR002,Cross-Training and Role Redundancy Program,4,7.3059
848,OR004,Institutional Memory and Knowledge Architecture Program,5,7.14745
848,OR001,Critical Function and Dependency Mapping,6,7.11718
849,OR006,Operational Resilience and Continuity Exercise Program,1,7.58176
849,OR001,Critical Function and Dependency Mapping,2,7.53174
849,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.33288
849,OR003,After-Action Learning and Corrective Action System,4,7.32709
849,OR004,Institutional Memory and Knowledge Architecture Program,5,7.2785
849,OR002,Cross-Training and Role Redundancy Program,6,6.94866
850,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.54504
850,OR002,Cross-Training and Role Redundancy Program,2,7.49417
850,OR006,Operational Resilience and Continuity Exercise Program,3,7.47167
850,OR003,After-Action Learning and Corrective Action System,4,7.39945
850,OR001,Critical Function and Dependency Mapping,5,7.34964
850,OR004,Institutional Memory and Knowledge Architecture Program,6,7.33328
851,OR002,Cross-Training and Role Redundancy Program,1,7.64649
851,OR006,Operational Resilience and Continuity Exercise Program,2,7.61564
851,OR003,After-Action Learning and Corrective Action System,3,7.41642
851,OR004,Institutional Memory and Knowledge Architecture Program,4,7.34389
851,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.28497
851,OR001,Critical Function and Dependency Mapping,6,6.88282
852,OR002,Cross-Training and Role Redundancy Program,1,7.61822
852,OR006,Operational Resilience and Continuity Exercise Program,2,7.60966
852,OR004,Institutional Memory and Knowledge Architecture Program,3,7.42219
852,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.27989
852,OR003,After-Action Learning and Corrective Action System,5,7.2308
852,OR001,Critical Function and Dependency Mapping,6,7.14829
853,OR006,Operational Resilience and Continuity Exercise Program,1,7.48829
853,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.46052
853,OR003,After-Action Learning and Corrective Action System,3,7.43875
853,OR002,Cross-Training and Role Redundancy Program,4,7.22466
853,OR001,Critical Function and Dependency Mapping,5,7.01888
853,OR004,Institutional Memory and Knowledge Architecture Program,6,6.80928
854,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.72445
854,OR003,After-Action Learning and Corrective Action System,2,7.42799
854,OR006,Operational Resilience and Continuity Exercise Program,3,7.26439
854,OR004,Institutional Memory and Knowledge Architecture Program,4,7.16953
854,OR002,Cross-Training and Role Redundancy Program,5,7.15612
854,OR001,Critical Function and Dependency Mapping,6,7.07275
855,OR006,Operational Resilience and Continuity Exercise Program,1,7.3965
855,OR001,Critical Function and Dependency Mapping,2,7.32571
855,OR003,After-Action Learning and Corrective Action System,3,7.28343
855,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.21241
855,OR002,Cross-Training and Role Redundancy Program,5,7.15801
855,OR004,Institutional Memory and Knowledge Architecture Program,6,7.14454
856,OR006,Operational Resilience and Continuity Exercise Program,1,7.62886
856,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.61074
856,OR003,After-Action Learning and Corrective Action System,3,7.34063
856,OR004,Institutional Memory and Knowledge Architecture Program,4,7.21358
856,OR001,Critical Function and Dependency Mapping,5,7.13001
856,OR002,Cross-Training and Role Redundancy Program,6,7.05376
857,OR004,Institutional Memory and Knowledge Architecture Program,1,7.69693
857,OR003,After-Action Learning and Corrective Action System,2,7.54653
857,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.53736
857,OR006,Operational Resilience and Continuity Exercise Program,4,7.42619
857,OR001,Critical Function and Dependency Mapping,5,7.23767
857,OR002,Cross-Training and Role Redundancy Program,6,6.59734
858,OR004,Institutional Memory and Knowledge Architecture Program,1,7.57739
858,OR006,Operational Resilience and Continuity Exercise Program,2,7.51936
858,OR003,After-Action Learning and Corrective Action System,3,7.32219
858,OR002,Cross-Training and Role Redundancy Program,4,7.28222
